Industry,State_Territory,Year,Number_of_SARs
Money Services,California,1/1/2018,217045
Money Services,Colorado,1/1/2018,57859
Money Services,Connecticut,1/1/2018,14955
Money Services,Delaware,1/1/2018,4373
Money Services,District of Columbia,1/1/2018,6950
Money Services,Federated States of Micronesia,1/1/2018,30
Money Services,Florida,1/1/2018,96537
Money Services,Georgia,1/1/2018,44257
Money Services,Guam,1/1/2018,509
Money Services,Hawaii,1/1/2018,7754
Money Services,Idaho,1/1/2018,4151
Money Services,Illinois,1/1/2018,30499
Money Services,Indiana,1/1/2018,19525
Money Services,Iowa,1/1/2018,8165
Money Services,Kansas,1/1/2018,8469
Money Services,Kentucky,1/1/2018,12957
Money Services,Louisiana,1/1/2018,19684
Money Services,Maine,1/1/2018,3215
Money Services,Marshall Islands,1/1/2018,58
Money Services,Maryland,1/1/2018,27407
Money Services,Massachusetts,1/1/2018,27443
Money Services,Michigan,1/1/2018,23435
Money Services,Minnesota,1/1/2018,22944
Money Services,Mississippi,1/1/2018,13966
Money Services,Missouri,1/1/2018,18154
Money Services,Montana,1/1/2018,2512
Money Services,Nebraska,1/1/2018,6289
Money Services,Nevada,1/1/2018,16747
Money Services,New Hampshire,1/1/2018,3420
Money Services,New Jersey,1/1/2018,40839
Money Services,New Mexico,1/1/2018,7143
Money Services,New York,1/1/2018,115290
Money Services,North Carolina,1/1/2018,38015
Money Services,North Dakota,1/1/2018,3344
Money Services,Northern Mariana Islands,1/1/2018,144
Money Services,Ohio,1/1/2018,30271
Money Services,Oklahoma,1/1/2018,14682
Money Services,Oregon,1/1/2018,13724
Money Services,Palau,1/1/2018,10
Money Services,Pennsylvania,1/1/2018,37779
Money Services,Puerto Rico,1/1/2018,20534
Money Services,Rhode Island,1/1/2018,4618
Money Services,South Carolina,1/1/2018,19282
Money Services,South Dakota,1/1/2018,2824
Money Services,Tennessee,1/1/2018,23037
Money Services,Texas,1/1/2018,104141
Money Services,U.S. Virgin Islands,1/1/2018,2741
Money Services,Unknown/Blank,1/1/2018,7960
Money Services,Utah,1/1/2018,7258
Money Services,Vermont,1/1/2018,1809
Money Services,Virginia,1/1/2018,32358
Money Services,Washington,1/1/2018,19228
Money Services,West Virginia,1/1/2018,5809
Money Services,Wisconsin,1/1/2018,12213
Money Services,Wyoming,1/1/2018,2311
Money Services,Alabama,1/1/2019,11599
Money Services,Alaska,1/1/2019,2198
Money Services,American Samoa,1/1/2019,123
Money Services,Arizona,1/1/2019,18564
Money Services,Arkansas,1/1/2019,7215
Money Services,California,1/1/2019,199127
Money Services,Colorado,1/1/2019,96920
Money Services,Connecticut,1/1/2019,11721
Money Services,Delaware,1/1/2019,3483
Money Services,District of Columbia,1/1/2019,9009
Money Services,Federated States of Micronesia,1/1/2019,72
Money Services,Florida,1/1/2019,86519
Money Services,Georgia,1/1/2019,35388
Money Services,Guam,1/1/2019,344
Money Services,Hawaii,1/1/2019,5791
Money Services,Idaho,1/1/2019,2255
Money Services,Illinois,1/1/2019,20408
Money Services,Indiana,1/1/2019,11413
Money Services,Iowa,1/1/2019,4710
Money Services,Kansas,1/1/2019,5293
Money Services,Kentucky,1/1/2019,8189
Money Services,Louisiana,1/1/2019,12846
Money Services,Maine,1/1/2019,2470
Money Services,Marshall Islands,1/1/2019,112
Money Services,Maryland,1/1/2019,23840
Money Services,Massachusetts,1/1/2019,24135
Money Services,Michigan,1/1/2019,15184
Money Services,Minnesota,1/1/2019,16979
Money Services,Mississippi,1/1/2019,8734
Money Services,Missouri,1/1/2019,11763
Money Services,Montana,1/1/2019,1983
Money Services,Nebraska,1/1/2019,4114
Money Services,Nevada,1/1/2019,10501
Money Services,New Hampshire,1/1/2019,2421
Money Services,New Jersey,1/1/2019,37718
Money Services,New Mexico,1/1/2019,4849
Money Services,New York,1/1/2019,108111
Money Services,North Carolina,1/1/2019,29743
Money Services,North Dakota,1/1/2019,2207
Money Services,Northern Mariana Islands,1/1/2019,169
Money Services,Ohio,1/1/2019,19457
Money Services,Oklahoma,1/1/2019,8409
Money Services,Oregon,1/1/2019,8470
Money Services,Palau,1/1/2019,10
Money Services,Pennsylvania,1/1/2019,31605
Money Services,Puerto Rico,1/1/2019,15622
Money Services,Rhode Island,1/1/2019,3672
Money Services,South Carolina,1/1/2019,13031
Money Services,South Dakota,1/1/2019,1468
Money Services,Tennessee,1/1/2019,16725
Money Services,Texas,1/1/2019,92714
Money Services,U.S. Virgin Islands,1/1/2019,2857
Money Services,Unknown/Blank,1/1/2019,7280
Money Services,Utah,1/1/2019,4816
Money Services,Vermont,1/1/2019,958
Money Services,Virginia,1/1/2019,27141
Money Services,Washington,1/1/2019,16395
Money Services,West Virginia,1/1/2019,3249
Money Services,Wisconsin,1/1/2019,7070
Money Services,Wyoming,1/1/2019,1379
Money Services,Alabama,1/1/2020,9973
Money Services,Alaska,1/1/2020,1902
Money Services,American Samoa,1/1/2020,212
Money Services,Arizona,1/1/2020,17353
Money Services,Arkansas,1/1/2020,6043
Money Services,California,1/1/2020,275691
Money Services,Colorado,1/1/2020,117868
Money Services,Connecticut,1/1/2020,11253
Money Services,Delaware,1/1/2020,3637
Money Services,District of Columbia,1/1/2020,6518
Money Services,Federated States of Micronesia,1/1/2020,81
Money Services,Florida,1/1/2020,78285
Money Services,Georgia,1/1/2020,39563
Money Services,Guam,1/1/2020,373
Money Services,Hawaii,1/1/2020,4099
Money Services,Idaho,1/1/2020,1734
Money Services,Illinois,1/1/2020,17323
Money Services,Indiana,1/1/2020,10151
