Industry,State_Territory,Year,Number_of_SARs
Loan,Massachusetts,1/1/2022,43
Loan,Michigan,1/1/2022,7210
Loan,Minnesota,1/1/2022,27
Loan,Mississippi,1/1/2022,3
Loan,Missouri,1/1/2022,284
Loan,Montana,1/1/2022,6
Loan,Nebraska,1/1/2022,8
Loan,Nevada,1/1/2022,22
Loan,New Hampshire,1/1/2022,16
Loan,New Jersey,1/1/2022,1461
Loan,New Mexico,1/1/2022,50
Loan,New York,1/1/2022,1227
Loan,North Carolina,1/1/2022,1456
Loan,North Dakota,1/1/2022,0
Loan,Northern Mariana Islands,1/1/2022,0
Loan,Ohio,1/1/2022,223
Loan,Oklahoma,1/1/2022,20
Loan,Oregon,1/1/2022,12
Loan,Palau,1/1/2022,0
Loan,Pennsylvania,1/1/2022,253
Loan,Puerto Rico,1/1/2022,8
Loan,Rhode Island,1/1/2022,8
Loan,South Carolina,1/1/2022,49
Loan,South Dakota,1/1/2022,11
Loan,Tennessee,1/1/2022,64
Loan,Texas,1/1/2022,2475
Loan,U.S. Virgin Islands,1/1/2022,0
Loan,Unknown/Blank,1/1/2022,8
Loan,Utah,1/1/2022,32153
Loan,Vermont,1/1/2022,1
Loan,Virginia,1/1/2022,167
Loan,Washington,1/1/2022,21
Loan,West Virginia,1/1/2022,0
Loan,Wisconsin,1/1/2022,74
Loan,Wyoming,1/1/2022,2
